judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data,wilayah_scraping
Dijual Rumah 1 Lantai Daerah Sememi Kondisi Bagus,550000000,62.0,40.0,2.0,1.0,1,1.0,Unfurnished,1,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/dijual-rumah-1-lantai-daerah-sememi-kondisi-bagus-hos42113405/,rumah123,Surabaya Barat
Gading Mutiara Permai. Mepet Benowo Sby Siap Huni Ekonomis,550000000,84.0,63.0,2.0,2.0,1,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.63014,https://www.rumah123.com/properti/surabaya-benowo/gading-mutiara-permai-mepet-benowo-sby-siap-huni-ekonomis-hos19267049/,rumah123,Surabaya Barat
Dijual Rumah 2 Lantai Lokasi Strategis di Palm Oasis Surabaya Barat,1100000000,84.0,108.0,3.0,2.0,2,1.0,Unfurnished,1,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/dijual-rumah-2-lantai-lokasi-strategis-di-palm-oasis-surabaya-barat-hos41117038/,rumah123,Surabaya Barat
Dijual Rumah 2 Lantai Griya Citra Asri Benowo Surabaya,900000000,72.0,131.0,2.0,2.0,2,1.0,Unfurnished,0,0,"Benowo, Surabaya",-7.23213,112.63014,https://www.rumah123.com/properti/surabaya-benowo/dijual-rumah-2-lantai-griya-citra-asri-benowo-surabaya-hos19150302/,rumah123,Surabaya Barat
Dijual Rumah 2.lantai Lokasi Pondok Benowo Indah,790000000,90.0,160.0,4.0,2.0,2,1.0,Unfurnished,1,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/dijual-rumah-2lantai-lokasi-pondok-benowo-indah-hos38897787/,rumah123,Surabaya Barat
"Rumah di Benowo Kepatihan Perbatasan Surabaya Barat Type Lyra Hadap Selatan, Row Jalan 8 Meter Kabel Underground",519000000,60.0,36.0,2.0,1.0,1,,Unfurnished,1,0,"Benowo, Surabaya",-7.23213,112.630142,https://www.rumah123.com/properti/surabaya-benowo/rumah-di-benowo-kepatihan-perbatasan-surabaya-barat-type-lyra-hadap-selatan-row-jalan-8-meter-kabel-underground-hos42398493/,rumah123,Surabaya Barat
Butuh Cepat Laku Rumah SHM Murah Swp Residence Benowo,450000000,72.0,42.0,2.0,1.0,1,1.0,Unfurnished,1,1,"Benowo, Surabaya",0.010786168277263641,0.01177322119474411,https://www.rumah123.com/properti/surabaya-benowo/rumah-benowo-murah-asri-di-swp-residence-dekat-tandes-hos7259313/,rumah123,Surabaya Barat
Rumah 2 Lantai Pantai Mentari Lantai Granit Rangka Galvalum Row Jalan Lebar,2000000000,136.0,146.0,4,3,2,1.0,Unfurnished,0,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/rumah-2-lantai-pantai-mentari-lantai-granit-rangka-galvalum-row-jalan-lebar-hos41925185/,rumah123,Surabaya Utara
Rumah Pantai Mentari Baru Gress 2 Lantai Siap Huni SHM Sanitary Toto,1850000000,90.0,135.0,5,4,2,2.0,Unfurnished,1,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/rumah-pantai-mentari-baru-gress-2-lantai-siap-huni-shm-sanitary-toto-hos41672880/,rumah123,Surabaya Utara
"Dijual Rumah Modern Minimalis, Pantai Mentari",1770000000,102.0,101.0,3,2,2,2.0,Semi Furnished,1,0,"Bulak, Surabaya",-7.240977,112.79512,https://www.rumah123.com/properti/surabaya-bulak/dijual-rumah-modern-minimalis-pantai-mentari-hos42136770/,rumah123,Surabaya Utara
