judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data
Bangunan Komersial Surabaya Pusat Dekat Raya Gubeng Sumatera,47000000000,830.0,1500.0,6,6,2,,Unfurnished,0,0,"Gubeng, Surabaya",-7.271972,112.7503179,https://www.rumah123.com/properti/surabaya-gubeng/bangunan-komersial-surabaya-pusat-dekat-raya-gubeng-sumatera-hos42166037/,rumah123
Termurah Rumah Mewah Classic 2 LT Marmer Pakuwon Indah Vbr,14500000000,450.0,750.0,4,5,2,2.0,Unfurnished,1,0,"Pakuwon Indah, Surabaya",-7.28921,112.67447,https://www.rumah123.com/properti/surabaya-pakuwon-indah/termurah-rumah-mewah-classic-2-lt-marmer-pakuwon-indah-vbr-hos18538548/,rumah123
Premium Rumah Minimalis 2 LT Graha Family Favorit,28500000000,450.0,650.0,3,4,2,2.0,Semi Furnished,0,1,"Graha, Surabaya",-7.303161691419589,112.68216949605642,https://www.rumah123.com/properti/surabaya-graha/premium-rumah-minimalis-2-lt-graha-family-favorit-hos40340133/,rumah123
Rumah Hitung Tanah Murah Cocok Kost Siwalankerto Permai,1700000000,200.0,100.0,3,2,1,,Unfurnished,0,0,"Tenggilis Mejoyo, Surabaya",-7.31943,112.755386,https://www.rumah123.com/properti/surabaya-tenggilis-mejoyo/rumah-hitung-tanah-murah-cocok-kost-siwalankerto-permai-hos19462060/,rumah123
Murah Rumah American Attic Dian Istana Raya Dekat Citraland,3500000000,137.0,140.0,3,3,2,1.0,Semi Furnished,0,1,"Wiyung, Surabaya",-7.304401987265948,112.6942053812486,https://www.rumah123.com/properti/surabaya-wiyung/murah-rumah-american-attic-dian-istana-raya-dekat-citraland-hos41049995/,rumah123
Mewah Rumah American Minimalis 2.5 Full Marmer Vbr Pakuwon Indah Dkt Graha Family,45000000000,800.0,1200.0,6,5,3,5.0,,0,0,"Pakuwon Indah, Surabaya",-7.28921,112.674469,https://www.rumah123.com/properti/surabaya-pakuwon-indah/mewah-rumah-american-minimalis-25-full-marmer-vbr-pakuwon-indah-dkt-graha-family-hos41070075/,rumah123
Premium Rumah Gress Marmer Pool Graha Family Golf,18000000000,487.0,500.0,4,4,2,2.0,Unfurnished,0,1,"Graha, Surabaya",-7.303161691419589,112.68216949605642,https://www.rumah123.com/properti/surabaya-graha/premium-rumah-gress-marmer-pool-graha-family-golf-hos42263815/,rumah123
Rumah Gress Mewah Minimalis Pool Pakuwon Indah Vbr Golf Dkt Citraland,15500000000,330.0,600.0,6,6,2,2.0,Unfurnished,0,1,"Pakuwon Indah, Surabaya",-7.28921,112.674469,https://www.rumah123.com/properti/surabaya-pakuwon-indah/rumah-gress-mewah-minimalis-pool-pakuwon-indah-vbr-golf-dkt-citraland-hos39263670/,rumah123
Rumah Mewah Minimalis 2 LT Graha Family Golf,9400000000,276.0,350.0,4,4,2,,Unfurnished,0,1,"Graha, Surabaya",-7.303161691419589,112.68216949605642,https://www.rumah123.com/properti/surabaya-graha/rumah-mewah-minimalis-2-lt-graha-family-golf-hos42263888/,rumah123
Rumah Mewah Minimalis Graha Family Golf Dekat Pakuwon,15000000000,450.0,500.0,4,3,2,,,0,1,"Graha, Surabaya",-7.303161691419589,112.68216949605642,https://www.rumah123.com/properti/surabaya-graha/rumah-mewah-minimalis-graha-family-golf-dekat-pakuwon-hos42263944/,rumah123
Super Mewah Minimalis 2 LT Pool Golf View Pakuwon Indah,110000000000,2475.0,2500.0,5,6,2,,Unfurnished,0,1,"Pakuwon Indah, Surabaya",-7.293644,112.665365,https://www.rumah123.com/properti/surabaya-pakuwon-indah/super-mewah-minimalis-2-lt-pool-golf-view-pakuwon-indah-hos41448457/,rumah123
Termurah Rumah Minimalis Citraland Gwalk Dekat Pakuwon,6500000000,293.0,350.0,4,4,2,,Unfurnished,0,1,"Citraland, Surabaya",-7.284093,112.656721,https://www.rumah123.com/properti/surabaya-citraland/termurah-rumah-minimalis-citraland-gwalk-dekat-pakuwon-hos42264144/,rumah123
Premium Rumah Gress Minimalis 2 LT Marmer Furnish Regency 21 Pakuwon,12000000000,425.0,420.0,4,4,2,2.0,Semi Furnished,0,1,"Sukolilo, Surabaya",-7.290093576407443,112.78370206994214,https://www.rumah123.com/properti/surabaya-sukolilo/premium-rumah-gress-minimalis-2-lt-marmer-furnish-regency-21-pakuwon-hos40970853/,rumah123
Premium Rumah Minimalis 3 Lt Marmer Lift Jemursari Sidosermo Mewah,20000000000,600.0,1100.0,7,8,3,,Unfurnished,0,1,"Jemursari, Surabaya",-7.32428,112.74173,https://www.rumah123.com/properti/surabaya-jemursari/premium-rumah-minimalis-3-lt-marmer-lift-jemursari-sidosermo-mewah-hos40646954/,rumah123
Dijual Via Lelang Rumah Lokasi Jalan Karang Asem Ploso Surabaya,2180000000,269.0,150.0,3,2,1,2.0,Unfurnished,0,0,"Surabaya Kota, Surabaya",-7.2771,112.717407,https://www.rumah123.com/properti/surabaya-surabaya-kota/dijual-via-lelang-rumah-lokasi-jalan-karang-asem-ploso-surabaya-hos40181766/,rumah123
Dijual Rumah 1 Lantai Lokasi Mulyosari Prima,1750000000,135.0,126.0,4,3,1,2.0,Unfurnished,0,0,"Mulyosari, Surabaya",-7.26556,112.79649,https://www.rumah123.com/properti/surabaya-mulyosari/dijual-rumah-1-lantai-lokasi-mulyosari-prima-hos19218654/,rumah123
