judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,kecamatan,jarak_ke_pusat_kota,rasio_bangunan_tanah,luas_bangunan_per_lantai,sumber_data
Harga Seperti Hitung Tanah Kondisi Rumah Perlu Renov,1360000000,170.0,170.0,3.0,1.0,1.0,,Furnished,Genteng,1.11,1.0,170.0,rumah123
"Rumah Bagus 2 Lantai di Claster Village Garden, Kalikepiting Sby.",1950000000,92.0,100.0,3.0,3.0,2.0,1.0,Unfurnished,Tambaksari,4.05,1.0869565217391304,50.0,rumah123
Dijual Rumah Daerah Tambaksari Surabaya Harga Terjangkau,600000000,91.0,91.0,2.0,1.0,1.0,,Unfurnished,Tambaksari,0.44,1.0,91.0,rumah123
Dijual Rumah Siap Huni di Ploso Baru Tambak Sari Surabaya,750000000,54.0,108.0,3.0,2.0,2.0,1.0,Unfurnished,Tambaksari,0.44,2.0,54.0,rumah123
Dijual Dibawah Pasar Rumah Minimalis Lebak Arum (Furnished),1360000000,170.0,170.0,4.0,2.0,1.0,1.0,Furnished,Tambaksari,0.44,1.0,170.0,rumah123
Dijual Rumah Tengah Kota di Kesumba Tambaksari Surabaya,3200000000,265.0,216.0,4.0,2.0,1.0,2.0,Unfurnished,Tambaksari,4.05,0.8150943396226416,216.0,rumah123
Rumah di Lebak Arum Surabaya Baru Modern Minimalis dan Bagus,1700000000,125.0,140.0,3.0,3.0,2.0,1.0,Unfurnished,Tambaksari,3.05,1.12,70.0,rumah123
Rumah Baru 2lt Lebak Indah Regency Scandinavian Minimalis,1300000000,62.0,100.0,3.0,2.0,2.0,1.0,Semi Furnished,Tambaksari,4.05,1.6129032258064515,50.0,rumah123
"Rumah, SHM, Murah 2 Lantai di Jl Kanser _ Tambaksari Surabaya.",1200000000,97.0,135.0,5.0,3.0,2.0,2.0,Unfurnished,Tambaksari,0.44,1.3917525773195876,67.5,rumah123
"Dijual Rumah Modern Minimalis Siap Huni, di Lebak Arum",2200000000,188.0,138.0,4.0,3.0,2.0,2.0,Unfurnished,Tambaksari,0.44,0.7340425531914894,69.0,rumah123
"Dijual Rumah Minimalis (2 Lantai) Lebak Inda Regency, Furnished (Cluster Queen Victoria)",1900000000,144.0,120.0,4.0,3.0,2.0,1.0,Semi Furnished,Tambaksari,0.44,0.8333333333333334,60.0,rumah123
"Dijual Rumah Minimalis Lebak Indah, Siap Huni, Cocok Juga untuk Rumah Usaha",1650000000,188.0,160.0,4.0,3.0,1.0,1.0,Unfurnished,Tambaksari,0.44,0.851063829787234,160.0,rumah123
Rumah Siap Huni di Ploso Timur - Akses Mudah,875000000,50.0,105.0,3.0,4.0,2.0,1.0,Unfurnished,Tambaksari,2.47,2.1,52.5,rumah123
Jual Rumah Aset Bank di Tambak Sari Surabaya,500000000,59.0,55.0,2.0,1.0,1.0,1.0,Unfurnished,Tambaksari,0.44,0.9322033898305084,55.0,rumah123
Rumah Hitung Tanah Bronggalan Pacar Kembang Tambaksari Surabaya,950000000,106.0,86.0,3.0,1.0,1.0,,Unfurnished,Tambaksari,0.44,0.8113207547169812,86.0,rumah123
Villa Kalijudan Indah 2Lt,2900000000,395.0,390.0,4.0,2.0,2.0,2.0,Unfurnished,Tambaksari,0.44,0.9873417721518988,195.0,rumah123
Dijual Cepat Rumah Usaha di Kusuma Bangsa,11900000000,465.0,350.0,12.0,3.0,1.0,1.0,Unfurnished,Tambaksari,0.44,0.7526881720430108,350.0,rumah123
Rumah di Lebak Arum - Lokasi Strategis & Potensial,2850000000,208.0,300.0,4.0,2.0,1.0,,Unfurnished,Tambaksari,3.11,1.4423076923076923,300.0,rumah123
"Rumah Lebak Indah Regency Dekat Kenjeran, Merr, Suramadu",1300000000,64.0,129.0,3.0,2.0,2.0,1.0,Unfurnished,Tambaksari,0.44,2.015625,64.5,rumah123
"Dijual Rumah Jolotundo Pacarkeling Dekat Unair, Deltaplaza,T P",1800000000,185.0,225.0,6.0,3.0,2.0,1.0,Unfurnished,Tambaksari,0.44,1.2162162162162162,112.5,rumah123
Rumah Tinggal Simo Gunung Barat,1870000000,159.0,239.0,1.0,1.0,1.0,,Unfurnished,Sukomanunggal,5.95,1.5031446540880504,239.0,rumah123
"Dijual Rumah Area Komersial Raya Satelit, Surabaya Barat",10500000000,600.0,870.0,8.0,4.0,2.0,1.0,Unfurnished,Sukomanunggal,5.95,1.45,435.0,rumah123
"Dijual Rumah 2 Lantai Daerah Satelit Dekat Rumah Sakit Mitra Keluarga,Surabaya Barat",6500000000,375.0,400.0,6.0,4.0,2.0,2.0,Unfurnished,Sukomanunggal,4.05,1.0666666666666667,200.0,rumah123
Ema412 Dijual Rumah Siap Huni Besar Strategis SHM di Raya Satelit Indah Surabaya,7900000000,450.0,300.0,5.0,2.0,2.0,2.0,Unfurnished,Sukomanunggal,5.95,0.6666666666666666,150.0,rumah123
Rumah Siap Huni SHM Luas 200 2 1/4 Lantai Darmo Satelit Sby Barat,2950000000,200.0,320.0,4.0,4.0,3.0,2.0,Semi Furnished,Sukomanunggal,5.95,1.6,106.66666666666667,rumah123
Dijual Rumah Hitung Tanah Darmo Harapan Hanya 10 Jutaan Per Meter,5500000000,480.0,352.0,4.0,2.0,1.0,1.0,Unfurnished,Sukomanunggal,4.05,0.7333333333333333,352.0,rumah123
Rumah Murah Jual Kupang Baru Dekat Kupang Indah,1800000000,200.0,150.0,4.0,1.0,1.0,1.0,Unfurnished,Sukomanunggal,5.95,0.75,150.0,rumah123
Rumah Komersil Raya Satelit Sukomanunggal Surabaya Barat,10500000000,600.0,870.0,7.0,3.0,2.0,4.0,Unfurnished,Sukomanunggal,5.95,1.45,435.0,rumah123
Dijual Tanah Bonus Bangunan Donowati Sukomanunggal Lt216m,1200000000,216.0,216.0,4.0,2.0,2.0,,Unfurnished,Sukomanunggal,5.08,1.0,108.0,rumah123
Dijual Rumah Raya Sukomanunggal jaya (Nol Jalan),6500000000,360.0,300.0,3.0,3.0,1.0,1.0,Furnished,Sukomanunggal,5.95,0.8333333333333334,300.0,rumah123
Rumah Baru 2 LT Good Quality Darmo Indah,1850000000,105.0,145.0,3.0,3.0,2.0,,Unfurnished,Sukomanunggal,5.08,1.380952380952381,72.5,rumah123
Strategis Dkt Pakuwon Supermall Rumah Jl. Darmo Harapan,2650000000,195.0,133.0,3.0,3.0,1.0,,Unfurnished,Sukomanunggal,5.08,0.6820512820512821,133.0,rumah123
"Taman Hunian Satelit 2, Lokasi Premium One Gate Sistem, Menghadap Jalan Kembar, Jl. Sukomanunggal Indah Surabaya Barat. Shm. Luas Tanah 450 M² = 15x30,  Luas Bangunan ± 500 M² Hadap Timur. Ktidur 4 + 1, Ktidur Utama Di Lantai 1. Ex Rumah Contoh. Sangat Te",9250000000,450.0,550.0,4.0,3.0,2.0,2.0,Semi Furnished,Sukomanunggal,5.95,1.2222222222222223,275.0,rumah123
