judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,kecamatan,jarak_ke_pusat_kota,rasio_bangunan_tanah,luas_bangunan_per_lantai,sumber_data
Rumah Karang Empat Strategis untuk Tinggal dan Usaha,1800000000,120.0,150.0,4.0,3.0,2.0,1.0,Unfurnished,Tambaksari,4.05,1.25,75.0,rumah123
"2 LT, Nego! Dijual Rumah Ploso Surabaya!",1450000000,130.0,220.0,5.0,3.0,2.0,1.0,Unfurnished,Tambaksari,4.05,1.6923076923076923,110.0,rumah123
Nego! Dijual Rumah Mulyosari! Under 1M! Lokasi Strategis!,900000000,81.0,90.0,3.0,1.0,1.0,1.0,Unfurnished,Tambaksari,0.44,1.1111111111111112,90.0,rumah123
For Sale Rumah Strategis Tengah Kota Raya Pacar Kembang Surabaya Mh 48,8000000000,450.0,450.0,4.0,2.0,1.0,,Unfurnished,Tambaksari,0.44,1.0,450.0,rumah123
Forsale Rumah Raya Pacar Kembang Strategis Surabaya Kota Mh 48,8000000000,450.0,450.0,4.0,2.0,1.0,,Unfurnished,Tambaksari,0.44,1.0,450.0,rumah123
Dijual Rumah Strategis Raya Pacar Kembang Surabaya Kota Mh 48,8000000000,450.0,450.0,4.0,2.0,1.0,,Unfurnished,Tambaksari,0.44,1.0,450.0,rumah123
"DIJUAL RUMAH BARU 2 LANTAI SIAP HUNI DI LEBAK ARUM 3+1 KAMAR TIDUR LUAS TANAH 122 HANYA 1,6MAN",1630000000,122.0,137.0,3.0,3.0,2.0,2.0,Unfurnished,Tambaksari,0.44,1.1229508196721312,68.5,rumah123
Dijual Murah Rumah Hook Bronggalan Tambaksari Surabaya,975000000,75.0,100.0,4.0,2.0,2.0,1.0,Unfurnished,Tambaksari,0.44,1.3333333333333333,50.0,rumah123
Dijual Rumah Ploso Timur,890000000,89.0,93.0,3.0,2.0,2.0,1.0,Unfurnished,Tambaksari,0.44,1.0449438202247192,46.5,rumah123
"Dijual Rumah Minimalis di Lebak, Siap Huni, Row Jalan Lebar",1900000000,200.0,150.0,3.0,3.0,1.0,1.0,Unfurnished,Tambaksari,0.44,0.75,150.0,rumah123
Rumah Karang Asem Siap Huni Dekat Pasar Kapasan,1350000000,116.0,100.0,2.0,1.0,2.0,1.0,Unfurnished,Tambaksari,0.44,0.8620689655172413,50.0,rumah123
"Jual Cepat Rumah Siap Huni Ploso Timur 1,5Man Saja",1500000000,134.0,119.0,3.0,2.0,1.0,,Unfurnished,Tambaksari,0.44,0.8880597014925373,119.0,rumah123
Dijual Rumah Jl Ploso Timur 2 Tabaksari Sby,600000000,99.0,85.0,3.0,1.0,1.0,1.0,Unfurnished,Tambaksari,0.44,0.8585858585858586,85.0,rumah123
600 Juta‼️ Rumah Ploso Timur Siap Huni,600000000,99.0,80.0,3.0,1.0,1.0,1.0,Unfurnished,Tambaksari,0.44,0.8080808080808081,80.0,rumah123
Jual Cepat Rumah Daerah Lebak Arum Dekat Kenjeran,1150000000,190.0,190.0,4.0,2.0,1.0,1.0,Unfurnished,Tambaksari,0.44,1.0,190.0,rumah123
"Jual Cepat Murahhh Rumah Jl. Cancer, Karangempat",1450000000,200.0,300.0,5.0,3.0,2.0,,Unfurnished,Tambaksari,0.44,1.5,150.0,rumah123
Dijual Rumah Siap Huni Jolotundo Baru Pacarkeling Tambaksarig,2500000000,185.0,200.0,5.0,3.0,2.0,1.0,Unfurnished,Tambaksari,4.05,1.0810810810810811,100.0,rumah123
Satu Satunya Chofa New Rumah Baru Mewah Ada Pool,17000000000,510.0,800.0,5.0,5.0,2.0,2.0,Semi Furnished,Sukomanunggal,6.52,1.5686274509803921,400.0,rumah123
"Satelit Utara Muraah, Turun Harga Lagi",2900000000,240.0,200.0,3.0,3.0,1.0,1.0,Unfurnished,Sukomanunggal,5.08,0.8333333333333334,200.0,rumah123
Rumah Darmo Harapan Surabaya Hadap Selatan Lokasi Strategis,5000000000,480.0,268.0,4.0,2.0,1.0,1.0,Unfurnished,Sukomanunggal,5.08,0.5583333333333333,268.0,rumah123
Dijual Cepat Dan Murahr Rumah Darmo Harapan,2600000000,220.0,200.0,3.0,3.0,2.0,2.0,Semi Furnished,Sukomanunggal,5.95,0.9090909090909091,100.0,rumah123
Rumah Darmo Baru Barat Surabaya 2 Lantai Hadap Utara,3000000000,173.0,200.0,3.0,1.0,2.0,1.0,Semi Furnished,Sukomanunggal,5.08,1.1560693641618498,100.0,rumah123
Rumah Baru Gress Siap Huni Mewah Row Lebar Darmo Baru Barat,3100000000,120.0,200.0,4.0,4.0,2.0,2.0,Unfurnished,Sukomanunggal,5.95,1.6666666666666667,100.0,rumah123
Rumah Baru Gress Siap Huni Mewah Row Lebar Darmo Baru Barat,4200000000,154.0,225.0,4.0,4.0,2.0,2.0,Unfurnished,Sukomanunggal,5.95,1.4610389610389611,112.5,rumah123
Rumah Baru Gress Siap Huni Mewah Row Lebar Darmo Baru Barat,3450000000,126.0,200.0,4.0,3.0,2.0,2.0,Unfurnished,Sukomanunggal,5.95,1.5873015873015872,100.0,rumah123
Turun Harga Dijual Rumah Kawasan Darmo Harapan Siap Huni,5000000000,480.0,268.0,4.0,2.0,1.0,,Unfurnished,Sukomanunggal,5.95,0.5583333333333333,268.0,rumah123
Rumah Hitung Tanah - Akses Utama Sukomanunggal Ramai!,7500000000,300.0,200.0,2.0,1.0,1.0,,Unfurnished,Sukomanunggal,5.92,0.6666666666666666,200.0,rumah123
Rumah-1 Lantai - Kupang Indah - Surabaya,5250000000,300.0,175.0,,,1.0,,Unfurnished,Sukomanunggal,5.95,0.5833333333333334,175.0,rumah123
Dijual Rumah Donowati Sukomanunggal SHM,1700000000,189.0,324.0,4.0,3.0,2.0,2.0,Unfurnished,Sukomanunggal,5.8,1.7142857142857142,162.0,rumah123
"Rumah Hitung Tanah 0 Jalan Raya Sukomanunggal, untuk Kantor, Cafe",7500000000,300.0,200.0,1.0,1.0,1.0,,Unfurnished,Sukomanunggal,5.92,0.6666666666666666,200.0,rumah123
Dijual Rumah Mewa Dekat Sekolah International (V A),11500000000,600.0,870.0,7.0,3.0,2.0,4.0,Unfurnished,Sukomanunggal,5.95,1.45,435.0,rumah123
Rumah Strategis Raya Darmo Harapan Surabaya Barat,4899000000,330.0,127.0,5.0,3.0,1.0,1.0,Unfurnished,Sukomanunggal,5.95,0.38484848484848483,127.0,rumah123
Rumah 2 Lantai Satelit Surabaya Barat Full Marmer Baru Siap Huni,13000000000,450.0,450.0,3.0,3.0,2.0,4.0,Furnished,Sukomanunggal,5.95,1.0,225.0,rumah123
Darmo Permai Timur Rumah Siap Huni,3250000000,300.0,250.0,3.0,2.0,2.0,,Unfurnished,Sukomanunggal,5.08,0.8333333333333334,125.0,rumah123
Darmo Permai. Raya Satelit Indah. Komersial Area,17000000000,450.0,500.0,4.0,3.0,2.0,2.0,Furnished,Sukomanunggal,5.95,1.1111111111111112,250.0,rumah123
"Rumah Puncak Permai Utara Surabaya, Lokasi Strategis Akses Mudah",8000000000,535.0,950.0,5.0,3.0,2.0,1.0,Semi Furnished,Sukomanunggal,8.24,1.7757009345794392,475.0,rumah123
Dijual Rumah Grand Harvest Cluster Belvoir Surabaya,1300000000,113.0,54.0,2.0,1.0,1.0,,Unfurnished,Karangpilang,11.26,0.4778761061946903,54.0,rumah123
Dijusl Kebraon.2 Lantai.dekat.harvest Bagus Rumah,1650000000,90.0,150.0,3.0,2.0,2.0,1.0,Unfurnished,Karangpilang,4.05,1.6666666666666667,75.0,rumah123
Dijual Rumah Hook 2 Lantai Griya Kebraon Barat,1200000000,100.0,200.0,4.0,2.0,1.0,,Unfurnished,Karangpilang,4.05,2.0,200.0,rumah123
"Rumah Baru Harvest Link.. Cuma 38 detik dari Jalan Raya Mastrip, Surabaya.⁣",2220000000,105.0,136.0,4.0,3.0,2.0,2.0,Unfurnished,Karangpilang,9.96,1.2952380952380953,68.0,rumah123
Rumah SHM Kedurus Karangpilang Surabaya 100 Meter Pasar Kedurus,1500000000,128.0,190.0,4.0,3.0,2.0,1.0,Semi Furnished,Karangpilang,11.04,1.484375,95.0,rumah123
Murah Raya Mastrip Nol Jalan Butuh Segera Laku,3740000000,416.0,416.0,,,1.0,,Unfurnished,Karangpilang,11.26,1.0,416.0,rumah123
Rumah Dijual di Gunungsari Indah Surabaya 1.3 Miliar Ada Kitchen Set,1300000000,96.0,96.0,5.0,3.0,2.0,1.0,Semi Furnished,Karangpilang,9.14,1.0,48.0,rumah123
Rumah 2 LT Alana Gunung Sari Pinggir Jalan Raya Surabaya - Rm004arb,1400000000,60.0,60.0,3.0,2.0,2.0,1.0,Unfurnished,Karangpilang,11.26,1.0,30.0,rumah123
Dijual Rumah Dijual Rumah Ready Dekat Karang Pilang Surabaya,835000000,120.0,45.0,2.0,1.0,,1.0,Unfurnished,Karangpilang,11.26,0.375,,rumah123
RUMAH DIJUAL DI SURABAYA BARAT MURAH GRAND HARVEST BEBAS BANJIR,1900000000,126.0,87.0,2.0,2.0,2.0,1.0,Unfurnished,Karangpilang,11.26,0.6904761904761905,43.5,rumah123
Jual Rumah di Kebraon (Ada Tempat Utk Usaha),1300000000,96.0,144.0,4.0,2.0,1.0,,Semi Furnished,Karangpilang,11.54,1.5,144.0,rumah123
Rumah di Jual Murah Free DP di Dekat Gedangan Sidoarjo,576000000,72.0,36.0,2.0,1.0,1.0,1.0,Semi Furnished,Karangpilang,11.26,0.5,36.0,rumah123
Rumah Raya Mastrip Karangpilang Surabaya,14000000000,724.0,400.0,9.0,7.0,2.0,4.0,Unfurnished,Karangpilang,11.26,0.5524861878453039,200.0,rumah123
Dijual Rumah Murah Lokasi Kebraun Indah Karangpilang,900000000,146.0,90.0,3.0,2.0,2.0,1.0,Unfurnished,Karangpilang,11.26,0.6164383561643836,45.0,rumah123
RUMAH DIJUAL GRAND HARVEST MURAH STRATEGIS SURABAYA BARAT,1850000000,126.0,87.0,2.0,2.0,2.0,1.0,Unfurnished,Karangpilang,11.26,0.6904761904761905,43.5,rumah123
Jual Rumah 2 Lantai Kemlaten Surabaya Selatan,2700000000,171.0,175.0,2.0,1.0,1.0,,Unfurnished,Karangpilang,11.26,1.023391812865497,175.0,rumah123
"Rumah Griya Kebraon Utara, Akses Mudah dan Lingkungan Asri",1100000000,110.0,160.0,3.0,1.0,1.0,1.0,Semi Furnished,Karangpilang,10.0,1.4545454545454546,160.0,rumah123
JUAL RUMAH JALAN TULUNGAGUNG GUNDIH SURABAYA,2900000000,303.0,175.0,6.0,2.0,1.0,3.0,Unfurnished,Bubutan,2.17,0.5775577557755776,175.0,rumah123
JUAL RUMAH JALAN TULUNGAGUNG GUNDIH SURABAYA,2900000000,303.0,175.0,6.0,2.0,1.0,3.0,Unfurnished,Bubutan,2.17,0.5775577557755776,175.0,rumah123
Rumah Dijual Jalan Purwodadi Bubutan Surabaya,1700000000,200.0,200.0,4.0,4.0,2.0,,Unfurnished,Bubutan,3.85,1.0,100.0,rumah123
Rumah Jalan Tulungagung Surabaya Bubutan,2850000000,380.0,372.0,7.0,2.0,1.0,,Unfurnished,Bubutan,2.17,0.9789473684210527,372.0,rumah123
Lokasi Dekat Pgs Pasar Turi Rumah Cocok Gudang/ Kos di Gundih Surabaya Pusat Akses bisa Truk Ban Double,5500000000,601.0,400.0,6.0,6.0,1.0,2.0,Unfurnished,Bubutan,2.17,0.6655574043261231,400.0,rumah123
"Rumah Strategis Area Bg Junction, Peluang Usaha dan Investasi Kos",2000000000,224.0,224.0,3.0,1.0,1.0,,Unfurnished,Bubutan,2.63,1.0,224.0,rumah123
Dijual Murah Rumah Usaha di Jalan Raya Tidar Surabaya Pusat Komersial,9000000000,440.0,440.0,1.0,1.0,1.0,,Unfurnished,Bubutan,2.17,1.0,440.0,rumah123
North West Park Citraland Utara,800000000,72.0,36.0,2.0,1.0,1.0,1.0,Unfurnished,Bubutan,2.38,0.5,36.0,rumah123
"Jual Rumah Jalan Tulung Agung, Gundih, Surabaya",2300000000,303.0,175.0,10.0,3.0,2.0,3.0,Furnished,Bubutan,2.01,0.5775577557755776,87.5,rumah123
"Jual Rumah Jalan Tulung Agung, Gundih, Surabaya",2300000000,303.0,175.0,10.0,3.0,2.0,3.0,Furnished,Bubutan,2.17,0.5775577557755776,87.5,rumah123
Rumah Jalan Tulungagung Surabaya Pusat,4000000000,380.0,372.0,7.0,2.0,2.0,,Unfurnished,Bubutan,2.17,0.9789473684210527,186.0,rumah123
"Rumah Terawat, Bagus dan Lokasi Strategis di Praban Kulon, SBY",955000000,58.0,58.0,2.0,2.0,3.0,,Unfurnished,Bubutan,2.17,1.0,19.333333333333332,rumah123
Rumah dan Ruko Dijual Dijalan Semarang Surabaya Pusat,12000000000,303.0,300.0,4.0,4.0,2.0,,Unfurnished,Bubutan,2.68,0.9900990099009901,150.0,rumah123
Bubutan Rumah Tengah Kota Strategis Jarang Ada Lokasi Bagus,1500000000,115.0,115.0,4.0,2.0,2.0,1.0,Unfurnished,Bubutan,2.17,1.0,57.5,rumah123
Dijual Rumah Dijalan Purwodadi Surabaya Pusat,1900000000,200.0,200.0,4.0,1.0,1.0,,Unfurnished,Bubutan,3.87,1.0,200.0,rumah123
Dijual Rumah Dijalan Tembok Gede Surabaya,850000000,143.0,143.0,3.0,1.0,1.0,,Unfurnished,Bubutan,2.59,1.0,143.0,rumah123
DIJUAL RUMAH  TENGAH KOTA Jl.Sultan Agung - Semarang,27000000000,930.0,548.0,7.0,6.0,,9.0,Unfurnished,Bubutan,2.38,0.589247311827957,,rumah123
Rumah Area Komersial Jalan Raya Bubutan Surabaya,28000000000,1402.0,850.0,4.0,4.0,2.0,4.0,Unfurnished,Bubutan,2.38,0.6062767475035663,425.0,rumah123
Rumah Araya Galaxy Bumi Permai Tahap 1 Surabaya Timur,9900000000,360.0,540.0,6.0,6.0,2.0,2.0,Furnished,Mulyorejo,3.45,1.5,270.0,rumah123
Rumah Araya Galaxy Bumi Permai Tahap 1 Surabaya Timur,9900000000,360.0,540.0,6.0,6.0,2.0,2.0,Furnished,Mulyorejo,3.45,1.5,270.0,rumah123
"Dijual Rumah Usaha Strategis Nol Jalan Raya Kalijudan Dekat Kampus Unair & Univ Widya Mandala Uwm Cocok Dibangun Ruko, Kos, Kantor, Investasi Traffic Ramai Pusat Bisnis, Kuliner,Pendidikan. Harga Nego",5800000000,323.0,300.0,9.0,3.0,2.0,4.0,Unfurnished,Mulyorejo,3.45,0.9287925696594427,150.0,rumah123
Rumah Kertajaya Indah Mulyorejo Surabaya Timur Murah. Ron.a3210,3250000000,200.0,200.0,5.0,2.0,2.0,1.0,Semi Furnished,Mulyorejo,3.45,1.0,100.0,rumah123
"Jual Rumah Baru Gress di Villa Kalijudan, Dekat Kampus Kedokteran Unair",1850000000,100.0,160.0,3.0,3.0,2.0,1.0,Unfurnished,Mulyorejo,3.45,1.6,80.0,rumah123
Rumah Taman Gading Pantai Surabaya Murah. Ron.a3040,2500000000,452.0,223.0,,,1.0,,Unfurnished,Mulyorejo,4.05,0.49336283185840707,223.0,rumah123
Rumah Usaha Raya Kalijudan Dekat Jalan Raya Merr dan Kampus Unair,5800000000,323.0,300.0,9.0,3.0,2.0,4.0,Unfurnished,Mulyorejo,3.45,0.9287925696594427,150.0,rumah123
"Rumah Regency One East Point, Mulyorjeo Dkt Mall Pakuwon City",1500000000,45.0,65.0,2.0,2.0,2.0,,Semi Furnished,Mulyorejo,3.45,1.4444444444444444,32.5,rumah123
Mulyosari Mas 2 LT Siap Huni Murah,3000000000,264.0,350.0,4.0,2.0,2.0,3.0,Unfurnished,Mulyorejo,3.45,1.3257575757575757,175.0,rumah123
Mulyosari Mas 2 LT Murah,3000000000,264.0,350.0,3.0,1.0,2.0,1.0,Unfurnished,Mulyorejo,3.45,1.3257575757575757,175.0,rumah123
Rumah Siap Huni 1 Lantai Babatan Pantai Surabaya Timur,1400000000,96.0,56.0,3.0,2.0,1.0,,Semi Furnished,Mulyorejo,3.45,0.5833333333333334,56.0,rumah123
Sutorejo Utara Full Furnished Siap Huni,4400000000,300.0,310.0,5.0,4.0,1.0,3.0,Furnished,Mulyorejo,3.45,1.0333333333333334,310.0,rumah123
"Rumah 1,5 LT Bhaskara SHM Siap Huni Dekat Mulyosari, Pakuwon City",1600000000,120.0,100.0,4.0,2.0,2.0,2.0,Unfurnished,Mulyorejo,3.45,0.8333333333333334,50.0,rumah123
Dijual Rumah Modern Minimalis Regency One Eastpoint (Baru Gress),1230000000,50.0,73.0,3.0,2.0,1.0,1.0,Unfurnished,Mulyorejo,3.45,1.46,73.0,rumah123
Nego! Dijual Rumah Baru Babatan Pantai! 2 Lantai! New Unit! Hook!,2550000000,116.0,150.0,4.0,3.0,2.0,2.0,Unfurnished,Mulyorejo,3.45,1.293103448275862,75.0,rumah123
"Dijual Rumah 2 Lantai - Pakuwon City Surabaya, Surabaya Timur",2600000000,104.0,150.0,4.0,3.0,2.0,2.0,Unfurnished,Mulyorejo,3.45,1.4423076923076923,75.0,rumah123
Dijual Rumah Hitung Tanah Manyar Kertoarjo Surabaya Harga bisa di Nego Sampai Deal,8000000000,420.0,400.0,,,1.0,,Furnished,Mulyorejo,3.45,0.9523809523809523,400.0,rumah123
Dijual Rumah Hitung Tanah Manyar Kertoarjo Surabaya Harga bisa di Nego Sampai Deal,8000000000,420.0,400.0,,,1.0,,Furnished,Mulyorejo,3.45,0.9523809523809523,400.0,rumah123
Forsale Rumah Pakuwon City Strategis Siap Huni Surabaya Dv 04,1950000000,112.0,112.0,5.0,2.0,1.0,,Unfurnished,Mulyorejo,3.45,1.0,112.0,rumah123
Dijual Rumah 1 Lantai Lb 200 M2 Jl Darmo Harapan Utara 7 Surabaya,3850000000,250.0,200.0,3.0,2.0,1.0,2.0,Unfurnished,Tandes,8.07,0.8,200.0,rumah123
Rumah Grand Pakuwon Adelaidetipe Sanders Siap Huni Lokasi Premium,1400000000,72.0,70.0,2.0,2.0,2.0,,Unfurnished,Tandes,9.98,0.9722222222222222,35.0,rumah123
Rumah di Grand Pakuwon Queensland,1200000000,48.0,60.0,2.0,2.0,2.0,1.0,Unfurnished,Tandes,8.07,1.25,30.0,rumah123
Dijual Rumah Grand Pakuwon,1700000000,72.0,70.0,2.0,2.0,2.0,,Semi Furnished,Tandes,8.07,0.9722222222222222,35.0,rumah123
"Rumah Dijual Darmo Indah Timur, Surabaya",1750000000,105.0,105.0,3.0,2.0,2.0,,Unfurnished,Tandes,8.07,1.0,52.5,rumah123
"Rumah Dijual Darmo Harapan Indah, Tandes, Surabaya",1850000000,102.0,102.0,3.0,3.0,1.0,,Unfurnished,Tandes,8.07,1.0,102.0,rumah123
Rumah Murah Darmo Indah Timur 2 Lantai Surabaya Barat,1000000000,200.0,300.0,4.0,3.0,2.0,4.0,Unfurnished,Tandes,4.05,1.5,150.0,rumah123
*Dijual Murah Rumah Grand Pakuwon Surabaya Barat*:Fire:grand Pakuwon Cluster Canberra,1680000000,90.0,100.0,4.0,2.0,2.0,,Unfurnished,Tandes,8.07,1.1111111111111112,50.0,rumah123
Dijual Rumah dengan Attic di Cluster Adelaide Grand Pakuwon,1800000000,72.0,126.0,3.0,2.0,,2.0,Unfurnished,Tandes,8.16,1.75,,rumah123
Murah! Rumah Baru Siap Huni Grand Pakuwon Tandes Surabaya Jatim,1100000000,72.0,78.0,2.0,2.0,2.0,1.0,Unfurnished,Tandes,4.05,1.0833333333333333,39.0,rumah123
Rumah Grand Pakuwon Full Furnish,3100000000,160.0,185.0,3.0,3.0,2.0,1.0,Furnished,Tandes,8.07,1.15625,92.5,rumah123
Jual Cepat Rumah Terawat SHM di Darmo Indah Surabaya Barat,2300000000,148.0,250.0,6.0,3.0,2.0,,Unfurnished,Tandes,8.07,1.6891891891891893,125.0,rumah123
Rumah Graha Natura Cluster Edenia - Murahhhh Poll,1500000000,108.0,114.0,3.0,3.0,2.0,1.0,Unfurnished,Tandes,8.07,1.0555555555555556,57.0,rumah123
Rumah Dijual Darmo Indah Barat Tandes Surabaya,5500000000,250.0,250.0,5.0,5.0,2.0,,Unfurnished,Tandes,7.71,1.0,125.0,rumah123
Dijual Rumah Raya Darmo Indah Sari bisa Dibuat Komersial,1600000000,135.0,150.0,1.0,1.0,1.0,1.0,Unfurnished,Tandes,4.05,1.1111111111111112,150.0,rumah123
"Dijual Rumah 1,5 LT Siap Huni Full Furnished Darmo Indah Timur",1750000000,105.0,150.0,3.0,2.0,2.0,1.0,Furnished,Tandes,4.05,1.4285714285714286,75.0,rumah123
Dijual Cepat. Nego Sampai Deal Minimalis Rumah di Grand Pakuwon,900000000,48.0,48.0,2.0,2.0,2.0,1.0,Unfurnished,Tandes,8.07,1.0,24.0,rumah123
Rumah Tengah Kota Surabaya Surabaya,1500000000,90.0,180.0,,,,,Unfurnished,Krembangan,4.04,2.0,,rumah123
Dijual Rumah Strategis Dekat Akses ke Pelabuhan di Perak Barat Surabaya,6000000000,300.0,300.0,6.0,4.0,3.0,1.0,Unfurnished,Krembangan,4.34,1.0,100.0,rumah123
Rumah 2 Lantai Bagus Siap Huni Akses Motor Saja Dekat Pasar Atom,650000000,111.0,111.0,3.0,2.0,2.0,,Furnished,Krembangan,4.34,1.0,55.5,rumah123
Forsale Rumah Strategis di Kalisosok Hitung Tanah Surabaya Kota Ki 59,5200000000,405.0,405.0,1.0,1.0,1.0,,Unfurnished,Krembangan,4.34,1.0,405.0,rumah123
Rumah Dijual Dijalan Kalongan Kecil Surabaya,1300000000,174.0,210.0,4.0,2.0,1.0,,Unfurnished,Krembangan,2.78,1.206896551724138,210.0,rumah123
Dijual Rumah Jalan Ikan Belanak Krembangan Surabaya,4000000000,210.0,210.0,,2.0,2.0,,Unfurnished,Krembangan,3.99,1.0,105.0,rumah123
Rumah Dijual Pesapen Krembangan Surabaya,2600000000,200.0,200.0,5.0,2.0,1.0,,Unfurnished,Krembangan,3.36,1.0,200.0,rumah123
Rumah Hitung Tanah Surat Ijo Pusat Kota,955000000,192.0,192.0,2.0,2.0,1.0,,Unfurnished,Krembangan,4.04,1.0,192.0,rumah123
Dijual Rumah Usaha Jl Krembangan Dekat Veteran Perak Rajawali,4000000000,330.0,500.0,5.0,2.0,2.0,3.0,Unfurnished,Krembangan,4.34,1.5151515151515151,250.0,rumah123
RUMAH SBY PUSAT JL. INDRAPURA NOL JALAN RAYA,15000000000,698.0,528.0,,,,,Unfurnished,Krembangan,4.04,0.7564469914040115,,rumah123
Karah,3000000000,256.0,450.0,5.0,4.0,2.0,1.0,Unfurnished,Jambangan,7.86,1.7578125,225.0,rumah123
Pagesangan,3200000000,233.0,233.0,6.0,3.0,1.0,,Unfurnished,Jambangan,7.86,1.0,233.0,rumah123
Dijual Rumah Royal Ketintang Terawat Siap Huni SHM,3400000000,120.0,200.0,3.0,3.0,2.0,1.0,Unfurnished,Jambangan,7.73,1.6666666666666667,100.0,rumah123
Jual Cepat Rumah Bagus Pagesangan 3 Menit Masjid Agung Surabaya,2200000000,98.0,150.0,4.0,2.0,2.0,1.0,Unfurnished,Jambangan,7.73,1.530612244897959,75.0,rumah123
Dijual Rumah 3 Lantai di Jambangan Kebonagung Dekat Karah Agung,2800000000,172.0,345.0,5.0,5.0,3.0,1.0,Unfurnished,Jambangan,7.73,2.005813953488372,115.0,rumah123
Rumah Dijual di Nol Jl Raya Jambangan Surabaya,4100000000,444.0,444.0,5.0,4.0,1.0,,Unfurnished,Jambangan,7.73,1.0,444.0,rumah123
Rumah 2 lt Dijual di Kebonsari Tengah Surabaya,1500000000,180.0,180.0,4.0,4.0,2.0,,Unfurnished,Jambangan,7.73,1.0,90.0,rumah123
Rumah Dijual di Jl Jambangan Surabaya Selatan,1800000000,184.0,184.0,3.0,2.0,1.0,,Unfurnished,Jambangan,7.73,1.0,184.0,rumah123
Rumah Dijual di Jln Pagesangan Surabaya Selatan,2200000000,270.0,270.0,8.0,4.0,1.0,,Unfurnished,Jambangan,7.73,1.0,270.0,rumah123
Dijual Rumah Terawat Siap Huni 2 Lantai One Gate System Karah Tama Jambangan,1900000000,144.0,220.0,4.0,3.0,2.0,2.0,Unfurnished,Jambangan,4.05,1.5277777777777777,110.0,rumah123
Rumah Jambangan Indah Minimalis Siap Huni,2100000000,67.0,67.0,3.0,2.0,1.0,1.0,Unfurnished,Jambangan,7.73,1.0,67.0,rumah123
Jual Rumah Jambangan Surabaya Lokasi Karah Dekat Gayungan,770000000,159.0,180.0,7.0,3.0,1.0,1.0,Unfurnished,Jambangan,7.73,1.1320754716981132,180.0,rumah123
Rumah siap huni nol jalan ketintang surabaya selatan,7300000000,315.0,300.0,6.0,5.0,2.0,1.0,Unfurnished,Jambangan,7.86,0.9523809523809523,150.0,rumah123
Dijual Rumah Bagus Strategis di Central Park Ahmad Yani Surabaya,5600000000,200.0,350.0,4.0,2.0,2.0,1.0,Unfurnished,Jambangan,7.73,1.75,175.0,rumah123
PALM SPRING SURABAYA SELATAN KAWASAN EKSKLUSIF  BISA NEGO (SG),2500000000,150.0,100.0,3.0,2.0,1.0,1.0,Unfurnished,Jambangan,7.86,0.6666666666666666,100.0,rumah123
Lebar 11 Murah Minimalis Siap Huni,3900000000,275.0,400.0,3.0,2.0,1.0,2.0,Unfurnished,Jambangan,8.55,1.4545454545454546,400.0,rumah123
Rumah Dijual Wisma Pagesangan Surabaya Selatan,2200000000,165.0,190.0,5.0,2.0,2.0,,Unfurnished,Jambangan,7.86,1.1515151515151516,95.0,rumah123
Rumah Siap Huni 2 Lantai Lebar 8 Pasti Suka,1800000000,100.0,180.0,3.0,2.0,2.0,1.0,Furnished,Jambangan,7.73,1.8,90.0,rumah123
"Rumah Full Furnish Dekat Sekolah Al-Hikmah, Masjid Agung, Tol.waru, Unesa di Kebonsari",1200000000,90.0,160.0,3.0,2.0,2.0,1.0,Furnished,Jambangan,7.73,1.7777777777777777,80.0,rumah123
Rumah 2Lt Siap Pakai Rungkut Surabaya Dekat S I E R & Transmart,800000000,66.0,128.0,4.0,2.0,2.0,1.0,Unfurnished,Rungkut,8.25,1.9393939393939394,64.0,rumah123
"Jual Apa Adanya Rumah Rungkut Surabaya Dekat Merr, Transmart & S I E R",700000000,66.0,70.0,3.0,1.0,1.0,1.0,Unfurnished,Rungkut,8.25,1.0606060606060606,70.0,rumah123
Rumah Gress 2Lt On Progress Bangun Rungkut Surabaya Dekat U P N & I T S,1250000000,75.0,125.0,3.0,2.0,2.0,1.0,Unfurnished,Rungkut,8.25,1.6666666666666667,62.5,rumah123
"Rumah Baru Gress Ready 2Lt Rungkut Surabaya Dekat Merr, U P N",1350000000,75.0,125.0,3.0,2.0,2.0,1.0,Unfurnished,Rungkut,8.25,1.6666666666666667,62.5,rumah123
Rumah Cocok untuk Usaha Kos-Kosan di Rungkut Mejoyo,1900000000,200.0,200.0,5.0,3.0,1.0,1.0,Unfurnished,Rungkut,8.25,1.0,200.0,rumah123
Rumah Siap Huni 2 Lantai Rungkut Asri Tengah,2300000000,120.0,240.0,3.0,2.0,2.0,1.0,Semi Furnished,Rungkut,8.25,2.0,120.0,rumah123
Rumah Luas Dekat Upn Cocok untuk Kos-Kosan,2650000000,286.0,540.0,7.0,4.0,2.0,2.0,Unfurnished,Rungkut,8.25,1.8881118881118881,270.0,rumah123
"Rumah 2 Lantai Rungkut Mapan, 5Kt 3Km SHM Siap Huni",1450000000,112.0,192.0,5.0,3.0,2.0,,Unfurnished,Rungkut,8.25,1.7142857142857142,96.0,rumah123
Graha Natura Lily Rumah Baru Minimalis,2550000000,96.0,101.0,3.0,3.0,2.0,1.0,Unfurnished,Sambikerep,11.03,1.0520833333333333,50.5,rumah123
