judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,latitude,longitude,sumber_data
"Dijual Rumah Tengah Kota Jalan Kapuas, Surabaya",30000000000,685.0,252.0,6.0,3.0,2.0,2.0,Semi Furnished,-7.304,112.731598,rumah123
Rumah Usaha Jual Raya Diponegoro Sebelah Hotel Oval Murah,31900000000,800.0,1000.0,2.0,2.0,1.0,5.0,Unfurnished,-7.304,112.731598,rumah123
"RUMAH DIJUAL, Jl.Progo no.16 Surabaya, dekat Taman Bungkul",28000000000,827.0,475.0,4.0,2.0,1.0,1.0,Unfurnished,-7.304,112.731598,rumah123
Dijual Rumah Belanda di Pusat Kota Surabaya Raya Darmo Siap Huni,9000000000,420.0,300.0,6.0,2.0,1.0,,Unfurnished,-7.304,112.731598,rumah123
Jual Rumah Dekat Royal Plaza Di Surabaya,3000000000,240.0,300.0,5.0,5.0,2.0,2.0,Unfurnished,-7.304,112.731598,rumah123
Jual Rumah 2 Lantai Di Mangkunegara Surabaya,8000000000,426.0,600.0,5.0,5.0,2.0,6.0,Unfurnished,-7.304,112.731598,rumah123
Jual Rumah 2 Lantai Dekat Mall Royal Plaza Surabaya,2700000000,240.0,200.0,6.0,4.0,2.0,1.0,Unfurnished,-7.304,112.731598,rumah123
Jual Rumah Hook Ngagel 1 Lantai,1100000000,144.0,80.0,3.0,2.0,1.0,1.0,Unfurnished,-7.304,112.731598,rumah123
"Termurah Dijual Rumah Regency Kuda Dua, Jagir, Wonokromo",1750000000,144.0,200.0,3.0,3.0,2.0,,Unfurnished,-7.304,112.731598,rumah123
Rumah Strategis 2 Lantai Dekat Plaza Marina,1800000000,135.0,200.0,5.0,4.0,2.0,1.0,Unfurnished,-7.304,112.731598,rumah123
RUMAH 1.5 LT DI JL BENGAWAN SURABAYA,53000000000,1511.0,1000.0,13.0,4.0,1.0,,Unfurnished,,,rumah123
Dijual Rumah Cocok untuk Usaha Jalan Raya Tengah Kota Surabaya Rev.a1132,12000000000,437.0,339.0,8.0,4.0,1.0,,Unfurnished,-7.304,112.731598,rumah123
Dijual Rumah Mewah di Jalan Prapanca Surabaya Pusat,20000000000,708.0,500.0,20.0,1.0,3.0,,Unfurnished,-7.304,112.731598,rumah123
Dijual Rumah Purimas,1100000000,81.0,60.0,2.0,2.0,1.0,,Unfurnished,-7.304,112.731598,rumah123
"Rumah Lama Strategis di Jalan Bengawan, Butuh Renov, Strategis Dekat Perkantoran",9250000000,306.0,150.0,3.0,4.0,1.0,,Unfurnished,-7.304,112.731598,rumah123
Dijual Rumah Murah di Pusat Kota Jl Ogan (N N),4000000000,253.0,260.0,6.0,1.0,1.0,1.0,Unfurnished,-7.304,112.731598,rumah123
"For Sale! Rumah Jl Ciliwung, Surabaya Pusat - Bangunan 1 Lantai",20000000000,626.0,300.0,5.0,2.0,1.0,2.0,Unfurnished,-7.304,112.7316,rumah123
Dijual Rumah Pusat Kota Surabaya Daerah Wr Supratman,12000000000,486.0,165.0,3.0,2.0,2.0,1.0,Semi Furnished,-7.27355,112.737457,rumah123
Dijual Rumah 2 Lantai Daerah Pusat Kota Surabaya Daerah Kedungsari,7000000000,399.0,500.0,6.0,3.0,2.0,2.0,Unfurnished,-7.27355,112.737457,rumah123
Dijual Rumah Pusat Kota Surabaya,22000000000,619.0,302.0,8.0,4.0,1.0,4.0,Unfurnished,-7.27355,112.737457,rumah123
Dijual Rumah 1 Lantai Pusat Kota Surabaya Area Komersial,20000000000,670.0,535.0,2.0,2.0,1.0,2.0,Unfurnished,-7.27355,112.737457,rumah123
"Rumah Sam Ratulangi Surabaya Kota, SHM, Cocok untuk Gudang Tempat Tinggal Cafe Kantor",11000000000,556.0,480.0,4.0,2.0,1.0,4.0,Unfurnished,-7.27355,112.737457,rumah123
"Rumah Jl. Dinoyo 633.m2- Super Strategis Surabaya Pusat. Hitung Tanah. Lt 633 M² ± 15 X 40 | Lb ± 600 M² ( 1.5 Lantai ) | Shm | Hdp Timur. Sederet Suzana Bakery. Univ Widya Mandala. Rumah Rumah di Jl. Dinoyo, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur",16000000000,633.0,500.0,7.0,6.0,2.0,1.0,Semi Furnished,-7.27355,112.73746,rumah123
"Paling Murah Rumah Hitung Tanah Jalan Raya Kartini, Surabaya",17000000000,660.0,400.0,4.0,3.0,1.0,2.0,Unfurnished,-7.27355,112.737457,rumah123
Jual Rumah Mewah Cokroaminoto Surabaya Bangunan Baru,17000000000,580.0,750.0,9.0,9.0,2.0,2.0,Furnished,-7.27355,112.737457,rumah123
"Rumah Murah Hitung Tanah & Strategis di Tegalsari, Surabaya",27000000000,799.0,573.0,3.0,1.0,1.0,,Unfurnished,-7.27355,112.737457,rumah123
Cempaka Pusat Kota Surabaya,30000000000,1080.0,1200.0,6.0,5.0,2.0,2.0,Unfurnished,-7.27355,112.737457,rumah123
Raya Pandegiling Pusat Kota Surabaya,8600000000,745.0,300.0,2.0,2.0,1.0,,Unfurnished,-7.27355,112.737457,rumah123
Rumah Di Raya Darmo,16500000000,580.0,750.0,8.0,8.0,2.0,,Unfurnished,-7.27355,112.73746,rumah123
Edisi Rumah Pusat Kota Cocok Buat Kost² An,13000000000,434.0,524.0,14.0,6.0,3.0,1.0,Unfurnished,-7.267185814193013,112.7355234665797,rumah123
JUAL/SEWA RUMAH RAYA DARMO,52000000000,832.0,260.0,4.0,2.0,2.0,,Unfurnished,,,rumah123
Dijual Rumah Dijalan Kedungsari Surabaya,7500000000,396.0,500.0,6.0,2.0,1.0,,Unfurnished,-7.27355,112.73746,rumah123
Dijual Rumah Dijalan Imam Bonjol Surabaya Pusat Kota,13440000000,480.0,494.0,8.0,4.0,2.0,,Unfurnished,-7.2802172,112.7351999,rumah123
Rumah Dijual Dijalan Blambangan Surabaya Pusat,9000000000,420.0,420.0,4.0,2.0,1.0,,Unfurnished,-7.28409,112.74288,rumah123
Rumah di Bukit Palma Citraland Surabaya Bagus Lingkungan Nyaman,1500000000,120.0,100.0,5.0,2.0,2.0,1.0,Unfurnished,-7.252538181224906,112.62760877609252,rumah123
Dijual Rumah Nortwest Lake Citraland Surabaya Murah,975000000,72.0,69.0,2.0,2.0,2.0,1.0,Unfurnished,-7.24268,112.629807,rumah123
Rumah Tinggal di Perumahan Pondok Benowo Indah Kota Surabaya,478197000,107.0,70.0,,1.0,1.0,1.0,Unfurnished,-7.24268,112.62981,rumah123
Rumah Tinggal di Perumahan Pondok Benowo Indah Kota Surabaya,478197000,107.0,70.0,,1.0,1.0,1.0,Unfurnished,-7.24268,112.62981,rumah123
Turun Harga! Rumah Minimalist 2Lt Pakal Madya Asri,1600000000,89.0,128.0,3.0,3.0,2.0,1.0,Semi Furnished,-7.24268,112.629807,rumah123
Rumah Homey 1 Lantai Citraland Northwest Park Siap Huni Bersih,750000000,72.0,42.0,2.0,1.0,1.0,1.0,Unfurnished,-7.24268,112.629807,rumah123
Jual Rumah Bukit Palma Gress 2 Lantai 2 M,2000000000,120.0,170.0,4.0,4.0,2.0,2.0,Unfurnished,-7.24268,112.629807,rumah123
Rumah Baru Gress Jual Pakal Madya Jaya Minimalis 2 Lantai,1300000000,89.0,128.0,3.0,3.0,2.0,1.0,Unfurnished,-7.24268,112.629807,rumah123
Rumah 2 Unit Griya Surabaya Asri Pakal Benowo,580000000,59.0,63.0,2.0,2.0,2.0,1.0,Unfurnished,-7.24268,112.629807,rumah123
Dijual Rumah Northwest Park,750000000,72.0,46.0,2.0,1.0,1.0,1.0,Unfurnished,-7.24268,112.629807,rumah123
"Rumah Pelican Hill Citraland, Type Favorit, Harga Termurah",4100000000,200.0,250.0,4.0,3.0,2.0,2.0,Unfurnished,-7.24268,112.629807,rumah123
Northwest Citraland,975000000,55.0,80.0,2.0,2.0,2.0,,Unfurnished,,,rumah123
North West Lake Citraland Pakal,760000000,55.0,45.0,1.0,2.0,2.0,1.0,Unfurnished,-7.24268,112.629807,rumah123
Pakal Madya Asri Baru 2Lt,1300000000,94.0,150.0,3.0,3.0,2.0,1.0,Unfurnished,-7.24268,112.62981,rumah123
Dijual Rumah Northwest Park,1800000000,120.0,100.0,3.0,2.0,2.0,1.0,Unfurnished,-7.24268,112.629807,rumah123
Rumah SHM Furnished Siap Huni Grand Pakuwon Dekat Toll Margomulyo,1680000000,90.0,100.0,4.0,2.0,2.0,2.0,Furnished,-7.24268,112.629807,rumah123
